HAUL,POLY_SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,POLY_NUMBER,TABLET_ID
8,55,3,220,1,10,S02
8,55,3,210,1,10,S02
8,55,3,160,1,10,S02
8,55,3,260,1,10,S02
8,55,3,230,1,10,S02
8,55,3,210,1,10,S02
8,55,3,200,1,10,S02
8,55,3,240,1,10,S02
8,55,3,340,1,10,S02
8,55,3,280,1,10,S02
8,55,3,240,1,10,S02
8,55,3,230,1,10,S02
8,55,3,240,1,10,S02
8,55,3,270,1,10,S02
8,55,3,240,1,10,S02
8,55,3,180,1,10,S02
8,55,3,200,1,10,S02
8,55,3,250,1,10,S02
8,55,3,230,1,10,S02
8,55,3,250,1,10,S02
8,55,3,240,1,10,S02
8,55,3,260,1,10,S02
8,55,3,240,1,10,S02
8,55,3,240,1,10,S02
8,55,3,370,1,10,S02
8,55,3,260,1,10,S02
8,55,3,240,1,10,S02
8,55,3,240,1,10,S02
8,55,3,250,1,10,S02
8,55,3,240,1,10,S02
8,55,3,250,1,10,S02
8,55,3,270,1,10,S02
8,55,3,280,1,10,S02
8,55,3,200,1,10,S02
8,55,3,260,1,10,S02
8,55,3,260,1,10,S02
8,55,3,240,1,10,S02
8,55,3,210,1,10,S02
8,55,3,270,1,10,S02
8,55,3,260,1,10,S02
8,55,3,300,1,10,S02
8,55,3,260,1,10,S02
8,55,3,260,1,10,S02
8,55,3,250,1,10,S02
8,55,3,260,1,10,S02
8,55,3,230,1,10,S02
8,55,3,270,1,10,S02
8,55,3,260,1,10,S02
8,55,3,220,1,10,S02
8,55,3,240,1,10,S02
8,55,3,250,1,10,S02
8,55,3,100,1,10,S02
8,55,3,250,1,10,S02
8,55,3,320,1,10,S02
8,55,3,280,1,10,S02
8,55,3,430,1,10,S02
8,55,3,120,1,10,S02
8,55,3,240,1,10,S02
8,55,3,220,1,10,S02
8,55,3,180,1,10,S02
8,55,3,250,1,10,S02
8,55,3,260,1,10,S02
8,55,3,240,1,10,S02
8,55,3,260,1,10,S02
8,55,3,240,1,10,S02
8,55,3,150,1,10,S02
8,55,3,180,1,10,S02
8,55,3,240,1,10,S02
8,58,2,360,1,10,S02
8,58,2,360,1,10,S02
8,58,2,340,1,10,S02
8,58,2,350,1,10,S02
8,58,2,370,1,10,S02
8,58,2,350,1,10,S02
8,58,2,350,1,10,S02
8,58,2,350,1,10,S02
8,58,2,310,1,10,S02
8,58,2,330,1,10,S02
8,58,2,340,1,10,S02
8,58,2,330,1,10,S02
8,58,2,330,1,10,S02
8,58,2,370,1,10,S02
8,58,2,370,1,10,S02
8,58,2,350,1,10,S02
8,58,2,340,1,10,S02
8,58,2,350,1,10,S02
8,58,2,350,1,10,S02
8,58,2,360,1,10,S02
8,58,2,330,1,10,S02
8,58,2,340,1,10,S02
8,58,2,360,1,10,S02
8,58,2,350,1,10,S02
8,58,2,350,1,10,S02
8,58,2,280,1,10,S02
8,58,2,340,1,10,S02
8,58,2,360,1,10,S02
8,58,2,340,1,10,S02
8,58,2,340,1,10,S02
8,58,2,340,1,10,S02
8,58,2,320,1,10,S02
8,58,2,330,1,10,S02
8,55,3,250,1,10,S02
8,55,3,230,1,10,S02
8,55,1,300,1,10,S02
8,55,1,250,1,10,S02
